ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275744,3.10501,1.901252,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757449,3.10501,2.002407,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757446,3.10501,2.100557,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757448,3.10501,2.203473,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757446,3.10501,2.303166,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757449,3.10501,2.400005,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757448,3.10501,2.501648,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757446,3.10501,2.601281,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757449,3.10501,2.702766,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757444,3.10501,2.803288,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757441,3.10501,2.902058,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757441,3.10501,3.003778,ACCELERATE
-1,6.520904,6.489861,4.611048,4.588953,15.98896,0.2757255,3.144564,3.102585,ACCELERATE
-1,6.520962,6.489803,4.611039,4.588962,15.98897,0.2757065,3.3276,3.203054,ACCELERATE
-1,6.52103,6.489735,4.611033,4.588968,15.98898,0.2756978,3.641087,3.300706,ACCELERATE
-1,6.521177,6.489587,4.611005,4.588996,15.98897,0.2857148,4.100567,3.402905,ACCELERATE
-1,6.521416,6.489355,4.611074,4.588927,15.98893,0.2777218,4.657146,3.500822,ACCELERATE
-1,6.521541,6.489227,4.611133,4.588869,15.98886,0.2803117,5.342885,3.600632,ACCELERATE
-1,6.521686,6.489077,4.611207,4.588794,15.9888,0.2788783,6.164621,3.703636,ACCELERATE
-1,6.521904,6.488865,4.611276,4.588726,15.98872,0.2793847,7.045862,3.801987,ACCELERATE
-1,6.522103,6.488674,4.611362,4.58864,15.98864,0.2790735,8.040235,3.902943,ACCELERATE
-1,6.522349,6.488424,4.611459,4.588542,15.98854,0.279216,9.101566,4.002686,ACCELERATE
-1,6.522607,6.488164,4.611575,4.588426,15.98843,0.2791345,10.22574,4.101801,ACCELERATE
-1,6.52291,6.487861,4.611713,4.588288,15.98828,0.2791734,11.45542,4.204525,ACCELERATE
-1,6.523245,6.48753,4.611874,4.588128,15.98812,0.2791528,12.66806,4.301415,ACCELERATE
-1,6.523611,6.487164,4.612057,4.587945,15.98794,0.279166,13.94959,4.4001,ACCELERATE
-1,6.524024,6.486748,4.61227,4.587731,15.98773,0.2791581,15.31967,4.502276,ACCELERATE
-1,6.52446,6.486308,4.612508,4.587493,15.98749,0.2791611,16.6922,4.601908,ACCELERATE
-1,6.52495,6.48582,4.612775,4.587226,15.98722,0.2791581,18.124,4.703497,ACCELERATE
-1,6.525472,6.485303,4.613062,4.586939,15.98693,0.2791587,19.53701,4.801855,ACCELERATE
-1,6.526035,6.484743,4.61338,4.586621,15.98661,0.2791582,21.00271,4.902245,ACCELERATE
-1,6.526647,6.484139,4.613733,4.586268,15.98626,0.2791585,22.49988,5.00338,ACCELERATE
-1,6.527255,6.483516,4.614094,4.585907,15.9859,0.2791595,23.94235,5.10023,ACCELERATE
-1,6.527952,6.482835,4.614501,4.5855,15.98549,0.279161,25.47762,5.203301,ACCELERATE
-1,6.540002,6.470917,4.615559,4.58446,15.98398,0.2791595,26.9645,5.303124,LEFT_ACCELERATE
-1,6.74044,6.285145,4.65092,4.551772,15.94871,0.2791602,28.45924,5.403514,ACCELERATE
-1,6.807281,6.221705,4.695735,4.50702,15.90438,0.2791607,29.93997,5.502967,ACCELERATE
-1,6.866773,6.165037,4.736845,4.465906,15.86343,0.2791604,31.39526,5.600708,ACCELERATE
-1,6.899006,6.111441,4.776865,4.425882,15.82356,0.2791611,32.8767,5.7002,ACCELERATE
18.68935,6.85542,6.134089,4.816674,4.386279,15.7837,0.279162,34.38408,5.801432,LEFT_ACCELERATE
18.17911,7.000629,5.966016,4.905121,4.314974,15.70117,0.2791633,35.86707,5.901199,LEFT_ACCELERATE
18.57269,7.442471,5.480075,5.142192,4.135006,15.48026,0.2791688,37.34709,6.001818,LEFT_ACCELERATE
17.84491,7.550683,5.304964,5.381667,3.871997,15.1708,0.2791656,38.81693,6.102688,ACCELERATE
16.43336,7.350742,5.531875,5.508609,3.698759,14.87506,0.2791609,40.24767,6.200778,LEFT_ACCELERATE
15.52886,7.223314,5.782797,5.575824,3.622429,14.55086,0.2791618,41.72145,6.302123,LEFT_ACCELERATE
15.1228,7.205889,5.877337,5.649599,3.550684,14.12912,0.2791621,43.16264,6.403005,LEFT_ACCELERATE
13.84897,6.888813,7.024696,5.648863,3.567666,13.68044,0.279162,44.58537,6.503165,LEFT_ACCELERATE
12.97549,6.603143,9.91384,5.564278,3.689435,13.20709,0.2791614,45.98812,6.602601,LEFT_ACCELERATE
12.97685,6.536636,9.814201,5.469455,3.773557,12.61661,0.2791777,47.32032,6.70062,LEFT_ACCELERATE
13.89442,6.753226,7.264557,5.456192,3.747861,11.78994,0.2792034,48.6169,6.804225,LEFT_ACCELERATE
15.18507,7.156376,5.990265,5.583309,3.613428,10.81774,0.2792038,49.68122,6.901345,LEFT_ACCELERATE
15.86624,7.445384,5.44894,5.780807,3.426359,9.679414,0.2791856,50.64539,7.001706,LEFT_ACCELERATE
16.24591,7.624007,5.157564,5.949713,3.251451,8.475407,0.2791799,51.51222,7.101437,LEFT_ACCELERATE
17.28155,7.898857,4.72228,6.13916,3.060163,7.189893,0.2791795,52.24897,7.201067,LEFT_ACCELERATE
17.14089,7.83258,4.821446,6.280251,2.923336,5.842544,0.2791719,52.93377,7.302568,LEFT_ACCELERATE
15.79253,7.458114,5.705256,6.28008,2.962678,4.522696,0.279163,53.62623,7.402654,ACCELERATE
14.39349,6.990695,7.592837,6.16378,3.178822,3.237376,0.2791613,54.32964,7.501031,ACCELERATE
12.96323,6.446835,10.47225,5.940947,3.559667,1.94577,0.2791616,55.05494,7.600484,ACCELERATE
11.79682,5.865404,12.70189,5.592941,4.079409,0.6278675,0.2791599,55.79298,7.7019,LEFT_ACCELERATE
12.05342,5.446742,12.0159,5.148617,4.514655,-0.7107009,0.2791666,56.43517,7.801708,LEFT_ACCELERATE
14.89818,5.264075,10.04093,4.746571,4.75071,-2.113861,0.2791908,56.90017,7.901227,LEFT_ACCELERATE
-1,5.550758,7.999068,4.50686,4.774358,-3.587059,0.2792125,57.1175,8.001628,LEFT_ACCELERATE
-1,6.439013,6.571304,4.532383,4.667723,-5.057995,0.2792072,57.06141,8.100898,LEFT_ACCELERATE
-1,7.757106,5.607424,4.823279,4.44346,-6.512628,0.2791912,56.80185,8.200354,LEFT_ACCELERATE
-1,9.065379,4.912919,5.245596,4.105099,-7.997416,0.2791747,56.42897,8.303189,LEFT_ACCELERATE
-1,9.76009,4.46891,5.608141,3.752153,-9.408982,0.2791662,56.07915,8.400849,ACCELERATE
-1,10.34189,4.066725,5.946442,3.412911,-10.88664,0.2791616,55.7464,8.502553,ACCELERATE
-1,10.52406,3.777569,6.212434,3.112365,-12.31731,0.2791635,55.46322,8.600503,RIGHT_ACCELERATE
-1,9.785329,3.788054,6.325499,2.908419,-13.80664,0.279178,55.29657,8.70129,RIGHT_ACCELERATE
-1,8.884006,4.114911,6.297646,2.902408,-15.31337,0.2791786,55.30612,8.802629,RIGHT_ACCELERATE
-1,8.516172,4.372023,6.209093,2.995358,-16.8088,0.2791666,55.39679,8.903237,ACCELERATE
-1,8.404352,4.490928,6.127746,3.07672,-18.26442,0.2791617,55.47728,9.001114,ACCELERATE
