ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489736,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,NONE
-1,6.520921,6.489841,4.611082,4.588919,15.98893,0.2756993,3.105009,0.4190657,ACCELERATE
-1,6.520919,6.489844,4.611079,4.588922,15.98893,0.2757238,3.105009,0.4493975,ACCELERATE
-1,6.520918,6.489848,4.611077,4.588924,15.98893,0.2757272,3.105009,0.45518,ACCELERATE
-1,6.520914,6.489849,4.611075,4.588926,15.98893,0.2757415,3.105009,0.5035357,ACCELERATE
-1,6.520905,6.489856,4.611071,4.588931,15.98894,0.2757457,3.105014,0.6051748,ACCELERATE
-1,6.520902,6.489863,4.611066,4.588935,15.98894,0.2757449,3.105015,0.7034631,ACCELERATE
-1,6.520896,6.489869,4.611062,4.588939,15.98895,0.2757439,3.105015,0.8007207,ACCELERATE
-1,6.520886,6.489875,4.611057,4.588944,15.98895,0.2757432,3.105015,0.9016912,ACCELERATE
-1,6.520878,6.489883,4.611052,4.58895,15.98896,0.2757446,3.105015,1.004145,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757436,3.105015,1.101324,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757433,3.105015,1.202592,ACCELERATE
-1,6.520881,6.489884,4.611051,4.588951,15.98896,0.2757433,3.105015,1.302072,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275743,3.105015,1.401633,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275743,3.105015,1.500085,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275745,3.105015,1.604056,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757448,3.105015,1.703977,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757447,3.105015,1.804097,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757448,3.105015,1.903297,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757449,3.105015,2.002594,ACCELERATE
