ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521032,6.489736,4.611081,4.58892,15.98893,0.2756145,3.10501,0.3733333,,NONE
-1,6.520921,6.489841,4.611082,4.588919,15.98893,0.2757052,3.105009,0.4251158,,NONE
-1,6.520922,6.489846,4.611079,4.588922,15.98893,0.2757218,3.105009,0.4460239,,NONE
-1,6.520921,6.489845,4.611078,4.588923,15.98893,0.2757246,3.105009,0.4509317,,NONE
-1,6.520916,6.489851,4.611075,4.588926,15.98893,0.2757425,3.105011,0.5071107,,NONE
-1,6.52091,6.489856,4.611072,4.58893,15.98894,0.2757455,3.105011,0.6014535,,NONE
-1,6.520902,6.489863,4.611066,4.588935,15.98894,0.2757443,3.105012,0.7021028,,NONE
-1,6.520892,6.48987,4.611061,4.58894,15.98895,0.275744,3.105012,0.802914,,NONE
-1,6.520888,6.489877,4.611056,4.588945,15.98895,0.2757437,3.105012,0.9013299,,NONE
-1,6.520879,6.489882,4.611052,4.58895,15.98896,0.2757444,3.105015,1.004554,,NONE
-1,6.520881,6.489883,4.61105,4.588952,15.98896,0.275743,3.105015,1.103707,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105015,1.203175,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757442,3.105015,1.301749,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105015,1.401509,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757447,3.105015,1.503294,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757446,3.105015,1.60256,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105015,1.703144,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105015,1.800795,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105015,1.900821,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.275744,3.105015,2.001866,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105015,2.104956,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757445,3.105015,2.20303,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757441,3.105015,2.301155,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757443,3.105015,2.401057,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757448,3.105015,2.504024,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757449,3.105015,2.601195,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757447,3.105015,2.703804,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757448,3.105015,2.802165,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757449,3.105015,2.90304,,ACCELERATE
-1,6.52088,6.489885,4.611051,4.588951,15.98896,0.2757444,3.105015,3.003397,,ACCELERATE
-1,6.520903,6.489864,4.611049,4.588953,15.98896,0.2757263,3.141799,3.100276,,ACCELERATE
-1,6.520962,6.489805,4.611039,4.588962,15.98897,0.2757063,3.32625,3.202538,,ACCELERATE
-1,6.521031,6.489735,4.611033,4.588968,15.98898,0.2756977,3.650334,3.303015,,ACCELERATE
-1,6.521169,6.489597,4.611009,4.588993,15.98897,0.2867305,4.090359,3.400934,,ACCELERATE
-1,6.521413,6.489355,4.611073,4.588929,15.98893,0.2776835,4.65588,3.500621,,ACCELERATE
-1,6.521538,6.489232,4.611134,4.588868,15.98886,0.2801404,5.356063,3.602364,,ACCELERATE
-1,6.521687,6.489079,4.611207,4.588794,15.9888,0.2788597,6.161262,3.703234,,ACCELERATE
-1,6.521898,6.488869,4.611275,4.588727,15.98872,0.2794086,7.036653,3.801011,,ACCELERATE
-1,6.522093,6.488678,4.611359,4.588643,15.98864,0.2790404,8.013376,3.900331,,ACCELERATE
-1,6.522341,6.488427,4.611456,4.588545,15.98854,0.2792277,9.081774,4.00089,,ACCELERATE
-1,6.522609,6.488163,4.611574,4.588427,15.98843,0.2791323,10.21791,4.101127,,ACCELERATE
-1,6.522911,6.487857,4.611714,4.588287,15.98829,0.2791758,11.43546,4.202895,,ACCELERATE
-1,6.52324,6.487529,4.611872,4.58813,15.98813,0.2791518,12.65756,4.300587,,ACCELERATE
-1,6.523619,6.48715,4.612062,4.587939,15.98794,0.279164,13.98517,4.402777,,ACCELERATE
-1,6.524025,6.48675,4.612271,4.58773,15.98773,0.2791577,15.31954,4.502259,,ACCELERATE
-1,6.524457,6.486311,4.612506,4.587495,15.98749,0.2791625,16.67471,4.600648,,ACCELERATE
-1,6.524947,6.485823,4.612773,4.587228,15.98722,0.2791577,18.11398,4.702787,,ACCELERATE
-1,6.525473,6.485299,4.613065,4.586936,15.98693,0.2791593,19.54732,4.802557,,ACCELERATE
-1,6.526021,6.484754,4.613375,4.586627,15.98662,0.2791578,20.97432,4.900308,,ACCELERATE
-1,6.526639,6.484143,4.613731,4.586271,15.98626,0.2791581,22.48363,5.002282,,ACCELERATE
-1,6.52726,6.483511,4.614098,4.585904,15.98589,0.2791597,23.97751,5.102586,,ACCELERATE
-1,6.527935,6.482846,4.614493,4.585508,15.98542,0.2791608,25.45315,5.201653,,LEFT_ACCELERATE
-1,6.801475,6.235412,4.648941,4.556179,15.95033,0.2791607,26.92536,5.30056,,LEFT_ACCELERATE
-1,7.091145,5.995418,4.749989,4.462779,15.85346,0.2791608,28.43795,5.402326,,ACCELERATE
-1,7.229471,5.871146,4.842107,4.370716,15.76234,0.2791619,29.89433,5.500293,,ACCELERATE
-1,7.364144,5.749825,4.932677,4.280113,15.6721,0.2791597,31.41759,5.602735,,ACCELERATE
-1,7.441073,5.637175,5.016691,4.196076,15.58817,0.2791604,32.88936,5.701703,,ACCELERATE
19.72244,7.413052,5.561241,5.098746,4.114219,15.50604,0.2791599,34.36263,5.800764,,LEFT_ACCELERATE
19.07715,7.557751,5.363756,5.229558,4.0073,15.38634,0.2791622,35.85788,5.901515,,LEFT_ACCELERATE
19.43475,8.036778,4.878086,5.505486,3.802062,15.13696,0.2791676,37.31779,6.001105,,LEFT_ACCELERATE
18.79419,8.205392,4.600153,5.774446,3.503768,14.79331,0.2791657,38.76449,6.100963,,ACCELERATE
17.53985,8.072095,4.604939,5.946537,3.279639,14.44707,0.2791606,40.20303,6.200304,,LEFT_ACCELERATE
16.85956,8.050128,4.55399,6.095997,3.117242,14.03506,0.2791617,41.67463,6.302933,,LEFT_ACCELERATE
15.44609,7.729809,4.989855,6.159588,3.042845,13.62262,0.2791609,43.08929,6.401865,,ACCELERATE
13.96162,7.29409,6.226609,6.113851,3.12213,13.21227,0.2791591,44.53979,6.503068,,LEFT_ACCELERATE
13.01752,6.941865,9.273389,5.982334,3.301177,12.7816,0.2791604,45.95551,6.602455,,LEFT_ACCELERATE
12.87164,6.78797,-1,5.830177,3.447743,12.23334,0.2791748,47.3065,6.700524,,LEFT_ACCELERATE
13.55886,6.893591,7.474748,5.74047,3.486986,11.4753,0.2792024,48.59772,6.801389,,LEFT_ACCELERATE
15.11343,7.32794,5.751089,5.802898,3.393864,10.46564,0.2792152,49.74747,6.904611,,LEFT_ACCELERATE
17.24851,8.003892,4.60399,6.046559,3.177879,9.319886,0.279217,50.632,7.002362,,LEFT_ACCELERATE
19.80172,8.723229,3.805054,6.410097,2.861127,8.040859,0.2792034,51.31821,7.10032,,LEFT_ACCELERATE
-1,9.222647,3.246413,6.792302,2.477138,6.642644,0.279186,51.87781,7.201626,,LEFT_ACCELERATE
-1,9.254038,2.995468,7.057981,2.165745,5.263952,0.2791708,52.37284,7.300006,,ACCELERATE
-1,8.931603,3.120709,7.177828,2.022261,3.843978,0.2791643,52.91444,7.402064,,ACCELERATE
19.79136,8.479355,3.657773,7.167396,2.069315,2.491349,0.2791618,53.46623,7.500161,,RIGHT_ACCELERATE
17.62165,7.885702,4.991521,7.027269,2.324869,1.134042,0.2791627,54.08163,7.600237,,ACCELERATE
16.14814,7.297814,6.807971,6.775682,2.725247,-0.2212808,0.2791608,54.70904,7.700506,,LEFT_ACCELERATE
15.63029,6.748804,8.014554,6.40907,3.216428,-1.584474,0.2791593,55.3165,7.800728,,LEFT_ACCELERATE
17.58612,6.436901,7.832075,5.971269,3.604227,-2.991512,0.2791679,55.81155,7.901023,,LEFT_ACCELERATE
18.68185,6.131405,8.036609,5.613005,3.965357,-4.426678,0.279166,56.20409,8.000952,,LEFT_ACCELERATE
17.45448,5.696549,8.826333,5.236544,4.368726,-5.864379,0.2791619,56.59397,8.100964,,LEFT_ACCELERATE
18.39201,5.389,8.988912,4.800437,4.705063,-7.314501,0.2791608,56.9613,8.20143,,LEFT_ACCELERATE
-1,5.241406,8.771627,4.470729,4.923077,-8.764532,0.2791645,57.22976,8.300484,,LEFT_ACCELERATE
19.07282,4.955424,9.139049,4.199213,5.180177,-10.25896,0.2791614,57.48734,8.402298,,LEFT_ACCELERATE
19.91856,4.854483,8.915085,3.949831,5.354097,-11.70884,0.2791621,57.69733,8.500706,,LEFT_ACCELERATE
-1,5.165913,8.005748,3.838195,5.373692,-13.22342,0.2791742,57.7642,8.602693,,LEFT_ACCELERATE
-1,5.600497,7.386784,3.905308,5.295578,-14.68618,0.2791719,57.69172,8.701102,,LEFT_ACCELERATE
-1,5.813145,7.16778,4.007532,5.195367,-16.18594,0.2791642,57.59159,8.802028,,ACCELERATE
-1,6.066825,6.91917,4.103124,5.105598,-17.68842,0.2791617,57.49698,8.903111,,LEFT_ACCELERATE
-1,6.85842,6.289555,4.30252,4.957902,-19.15255,0.2791651,57.31312,9.0023,,LEFT_ACCELERATE
-1,7.572088,5.728898,4.617613,4.699653,-20.61202,0.2791653,57.03033,9.102139,,LEFT_ACCELERATE
-1,7.744656,5.421596,4.899717,4.420131,-22.04559,0.2791625,56.75202,9.200188,,ACCELERATE
19.87129,7.762265,5.235516,5.165704,4.147866,-23.52299,0.2791612,56.4823,9.301017,,ACCELERATE
18.38754,7.658043,5.210817,5.376131,3.891262,-24.98687,0.2791605,56.22588,9.400793,,ACCELERATE
16.918,7.451151,5.396674,5.503377,3.707891,-26.44901,0.27916,55.9767,9.500368,,ACCELERATE
15.55957,7.191054,5.83491,5.557221,3.641605,-27.94246,0.2791601,55.7206,9.602098,,LEFT_ACCELERATE
15.19561,7.158282,5.931182,5.588774,3.609552,-29.42804,0.2791659,55.38214,9.704512,,LEFT_ACCELERATE
15.75682,7.430763,5.44099,5.690459,3.517212,-30.78432,0.2791879,54.89687,9.801463,,LEFT_ACCELERATE
16.60458,7.875633,4.790691,5.911309,3.311751,-32.13046,0.2791862,54.18012,9.904132,,LEFT_ACCELERATE
16.46756,8.02886,4.552567,6.125333,3.088803,-33.33674,0.2791786,53.38751,10.00113,,LEFT_ACCELERATE
15.40773,7.811166,4.863729,6.244043,2.95293,-34.55888,0.2791661,52.55291,10.1005,,LEFT_ACCELERATE
14.86706,7.672055,5.198318,6.281437,2.925719,-35.76252,0.2791639,51.67986,10.20039,,LEFT_ACCELERATE
14.12017,7.430616,5.984601,6.275026,2.96125,-36.93217,0.2791631,50.72681,10.30171,,LEFT_ACCELERATE
12.71508,6.939368,-1,6.17675,3.176315,-38.07677,0.2791621,49.79908,10.40063,,ACCELERATE
11.37515,6.382824,-1,5.939254,3.581571,-39.25772,0.2791598,48.85491,10.50215,,LEFT_ACCELERATE
10.6988,5.922328,-1,5.581498,4.023693,-40.38849,0.2791657,47.85128,10.60376,,LEFT_ACCELERATE
10.80776,5.664383,-1,5.210357,4.314724,-41.36568,0.2791893,46.74853,10.70294,,LEFT_ACCELERATE
12.00867,5.679191,12.72379,4.93667,4.413625,-42.15645,0.2792115,45.47881,10.80378,,LEFT_ACCELERATE
15.35536,5.983325,8.605543,4.856105,4.371406,-42.6707,0.2792175,44.14362,10.90034,,LEFT_ACCELERATE
-1,6.661863,6.507904,4.995505,4.207108,-42.93933,0.2792193,42.61096,11.00552,,LEFT_ACCELERATE
-1,7.64852,5.263838,5.335416,3.936288,-42.9252,0.2792101,41.15002,11.10431,,LEFT_ACCELERATE
-1,8.935164,4.417105,5.793713,3.552998,-42.71427,0.2791902,39.67957,11.20447,,LEFT_ACCELERATE
-1,10.10228,3.824893,6.217428,3.117369,-42.41443,0.2791746,38.2345,11.30361,,LEFT_ACCELERATE
-1,10.66619,3.445693,6.517086,2.768198,-42.12598,0.2791665,36.80293,11.40169,,RIGHT_ACCELERATE
-1,10.62365,3.220679,6.736547,2.512465,-41.89441,0.2791677,35.30177,11.50376,,RIGHT_ACCELERATE
-1,9.850964,3.329607,6.788881,2.414144,-41.81483,0.2791772,33.83776,11.60238,,RIGHT_ACCELERATE
-1,9.400334,3.517885,6.753495,2.447689,-41.85011,0.2791679,32.33524,11.70334,,RIGHT_ACCELERATE
-1,9.32739,3.58741,6.707902,2.493437,-41.89479,0.2791619,30.88823,11.80053,,ACCELERATE
-1,9.272243,3.6451,6.66749,2.533832,-41.9351,0.2791602,29.34536,11.90415,,ACCELERATE
-1,9.225647,3.693889,6.633277,2.568027,-41.96872,0.2791602,27.88142,12.00245,,ACCELERATE
-1,9.183064,3.738323,6.602175,2.599118,-41.99989,0.2791594,26.38961,12.10263,,ACCELERATE
-1,9.142533,3.780534,6.57267,2.628614,-42.02924,0.2791608,24.88398,12.20372,,ACCELERATE
-1,9.104469,3.820097,6.545043,2.656235,-42.05684,0.2791606,23.39643,12.30361,,ACCELERATE
-1,9.068214,3.857751,6.518767,2.682505,-42.08297,0.2791613,21.93822,12.40152,,ACCELERATE
-1,9.031543,3.895793,6.492229,2.709038,-42.10969,0.2791602,20.40996,12.50414,,ACCELERATE
