ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521179,6.489586,4.611087,4.588914,15.98927,0.27534,3.107709,0.3733333,,NONE
-1,6.520583,6.490179,4.610825,4.589177,15.98948,0.2754323,3.10956,0.4950046,,NONE
-1,6.520294,6.49047,4.61062,4.589382,15.98961,0.2754356,3.110436,0.5582656,,NONE
-1,6.520122,6.490643,4.610497,4.589504,15.98965,0.2754356,3.110673,0.5761724,,NONE
-1,6.520074,6.490692,4.610463,4.589538,15.98967,0.2754348,3.110806,0.5863324,,NONE
-1,6.520021,6.490748,4.610424,4.589577,15.9897,0.2754318,3.111031,0.6037987,,NONE
-1,6.519714,6.491052,4.610209,4.589792,15.98995,0.2754331,3.11242,0.7202705,,NONE
-1,6.519412,6.491353,4.609996,4.590005,15.99014,0.2754328,3.113279,0.8012581,,NONE
-1,6.519073,6.491694,4.609755,4.590247,15.99038,0.275431,3.114247,0.9040948,,NONE
-1,6.518764,6.492004,4.609535,4.590466,15.99062,0.2754304,3.115043,1.001242,,NONE
-1,6.518459,6.49231,4.609288,4.590713,15.99068,0.2754346,3.115779,1.106916,,NONE
-1,6.518448,6.492317,4.609279,4.590723,15.99068,0.2754338,3.116332,1.201897,,NONE
-1,6.518515,6.49225,4.609339,4.590662,15.99068,0.275433,3.116858,1.315227,,NONE
-1,6.518521,6.492245,4.609343,4.590659,15.99068,0.2754342,3.117167,1.401553,,NONE
-1,6.5185,6.492264,4.609327,4.590674,15.99068,0.2754344,3.117433,1.505239,,NONE
-1,6.518496,6.49227,4.609324,4.590678,15.99069,0.2754332,3.117594,1.611724,,NONE
-1,6.518497,6.492268,4.609323,4.590679,15.99069,0.2754339,3.117645,1.710266,,NONE
-1,6.518497,6.492268,4.609323,4.590679,15.99069,0.2754346,3.117603,1.809221,,NONE
-1,6.518497,6.492267,4.609323,4.590679,15.99069,0.2754335,3.117452,1.919618,,NONE
-1,6.518492,6.492273,4.609319,4.590683,15.9907,0.275432,3.117259,2.005802,,NONE
-1,6.518484,6.49228,4.609313,4.590688,15.9907,0.2754335,3.116937,2.11134,,NONE
-1,6.518485,6.492281,4.609313,4.590688,15.9907,0.2754311,3.116474,2.228075,,NONE
-1,6.518486,6.49228,4.609313,4.590688,15.9907,0.2754351,3.116123,2.302185,,NONE
-1,6.51849,6.492274,4.609314,4.590687,15.9907,0.2754338,3.115533,2.410672,,NONE
-1,6.518483,6.492283,4.609308,4.590693,15.9907,0.2754327,3.114943,2.505856,,NONE
