ray1,ray2,ray3,ray4,ray5,kartx,karty,kartz,time,action
-1,6.521.032,6.489.736,4.611.081,458.892,1.598.893,2.756.145,310.501,3.733.333,NONE
-1,6.520.921,6.489.841,4.611.082,4.588.919,1.598.893,2.757.237,3.105.009,4.491.926,ACCELERATE
-1,6.520.917,6.489.847,4.611.077,4.588.924,1.598.893,2.757.318,310.501,465.304,ACCELERATE
-1,6.520.918,6.489.848,4.611.077,4.588.924,1.598.893,2.757.353,3.105.009,4.749.255,ACCELERATE
-1,6.520.915,648.985,4.611.075,4.588.926,1.598.893,2.757.428,310.501,5.066.826,ACCELERATE
-1,6.520.905,6.489.857,4.611.071,4.588.931,1.598.894,2.757.453,310.501,6.166.537,ACCELERATE
-1,6.520.902,6.489.863,4.611.066,4.588.935,1.598.894,2.757.443,310.501,702.275,ACCELERATE
-1,6.520.892,648.987,4.611.061,458.894,1.598.895,275.744,310.501,8.024.465,ACCELERATE
-1,6.520.888,6.489.877,4.611.056,4.588.945,1.598.895,275.744,310.501,9.028.562,ACCELERATE
-1,6.520.878,6.489.883,4.611.052,458.895,1.598.896,2.757.449,310.501,1.000.187,ACCELERATE
-1,652.088,6.489.885,4.611.051,4.588.951,1.598.896,2.757.432,310.501,110.428,ACCELERATE
-1,652.088,6.489.885,4.611.051,4.588.951,1.598.896,2.757.439,310.501,1.203.934,ACCELERATE
-1,6.520.881,6.489.885,4.611.051,4.588.951,1.598.896,2.757.434,3.105.011,1.300.586,ACCELERATE
-1,652.088,6.489.885,4.611.051,4.588.951,1.598.896,2.757.429,3.105.011,1.401.694,ACCELERATE
-1,652.088,6.489.885,4.611.051,4.588.951,1.598.896,2.757.431,3.105.011,150.332,ACCELERATE
-1,6.520.881,6.489.885,4.611.051,4.588.951,1.598.896,2.757.431,3.105.011,160.245,ACCELERATE
-1,6.520.881,6.489.885,4.611.051,4.588.951,1.598.896,2.757.431,3.105.011,1.702.818,ACCELERATE
-1,652.088,6.489.885,4.611.051,4.588.951,1.598.896,2.757.431,3.105.011,1.800.733,ACCELERATE
-1,652.088,6.489.885,4.611.051,4.588.951,1.598.896,275.745,3.105.011,1.9012,ACCELERATE
